,abv,ibu,style
14,6.1,60.0,American Pale Ale (APA)
24,4.3999999999999995,42.0,American Pale Ale (APA)
25,4.9,17.0,Fruit / Vegetable Beer
26,4.9,17.0,Fruit / Vegetable Beer
27,4.9,17.0,Fruit / Vegetable Beer
28,7.000000000000001,70.0,American IPA
29,7.000000000000001,70.0,American IPA
30,7.000000000000001,70.0,American IPA
32,9.700000000000001,94.0,American Double / Imperial IPA
33,4.3999999999999995,42.0,American Pale Ale (APA)
35,6.800000000000001,65.0,American Black Ale
37,7.000000000000001,65.0,American IPA
38,4.9,17.0,Fruit / Vegetable Beer
39,7.000000000000001,82.0,American IPA
43,4.5,18.0,American Blonde Ale
49,5.0,28.0,American Pale Wheat Ale
51,5.0,45.0,American IPA
53,6.9,65.0,American IPA
55,4.6,15.0,Kölsch
57,5.8999999999999995,75.0,American IPA
60,8.4,82.0,American Double / Imperial IPA
62,5.5,26.0,American Amber / Red Lager
63,5.5,26.0,American Amber / Red Lager
64,6.5,52.0,American IPA
65,4.2,13.0,Fruit / Vegetable Beer
66,4.5,17.0,American Amber / Red Lager
67,8.2,68.0,American IPA
68,5.0,20.0,American Brown Ale
69,8.0,68.0,American Double / Imperial IPA
72,4.2,42.0,American Pale Ale (APA)
73,5.0,25.0,German Pilsener
74,6.6000000000000005,21.0,Pumpkin Ale
75,4.0,13.0,Belgian Pale Ale
76,5.5,17.0,American Pilsner
77,7.6,68.0,American Double / Imperial IPA
78,5.1,38.0,Saison / Farmhouse Ale
80,6.0,65.0,American IPA
81,5.0,20.0,English Brown Ale
82,5.3,35.0,American Stout
83,5.0,35.0,American Pale Ale (APA)
84,5.2,33.0,American Pilsner
85,4.0,20.0,American Pilsner
86,5.3,36.0,American Pale Ale (APA)
87,8.2,103.0,American Double / Imperial IPA
88,5.3,40.0,American Pale Ale (APA)
95,6.2,43.0,American IPA
105,5.7,13.0,Oatmeal Stout
106,5.6000000000000005,4.0,Cream Ale
107,7.000000000000001,80.0,American IPA
108,5.800000000000001,15.0,American Amber / Red Ale
109,5.7,13.0,Oatmeal Stout
110,5.5,25.0,Vienna Lager
111,5.800000000000001,15.0,American Amber / Red Ale
112,5.6000000000000005,4.0,Cream Ale
113,5.7,13.0,Oatmeal Stout
115,7.000000000000001,80.0,American IPA
116,5.800000000000001,15.0,American Amber / Red Ale
117,5.6000000000000005,4.0,Cream Ale
118,5.5,28.0,American Pale Ale (APA)
128,7.1,75.0,American IPA
129,4.7,19.0,American Blonde Ale
130,6.0,23.0,American Porter
131,6.0,55.0,American Pale Ale (APA)
132,6.2,17.0,American Pale Wheat Ale
135,5.1,20.0,Saison / Farmhouse Ale
137,7.000000000000001,45.0,American IPA
138,3.2,27.0,Kölsch
139,5.3,26.0,American Porter
140,6.0,69.0,American IPA
144,5.6000000000000005,27.0,American Blonde Ale
145,7.000000000000001,67.0,American IPA
146,5.7,40.0,American Stout
147,8.2,138.0,American Double / Imperial IPA
148,6.2,35.0,American Porter
149,6.0,35.0,American Amber / Red Ale
150,7.5,115.0,American Double / Imperial IPA
151,5.5,12.0,American Porter
153,4.5,8.0,American Blonde Ale
154,5.0,62.0,American IPA
155,5.0,12.0,Munich Helles Lager
163,4.7,42.0,German Pilsener
164,5.6000000000000005,10.0,Witbier
165,6.3,69.0,American IPA
166,5.5,17.0,American Brown Ale
167,6.2,17.0,Pumpkin Ale
168,7.200000000000001,22.0,Märzen / Oktoberfest
169,4.8,23.0,American Pale Wheat Ale
172,6.1,41.0,American Amber / Red Ale
179,6.0,43.0,American Pale Ale (APA)
180,6.800000000000001,70.0,American IPA
181,4.3999999999999995,38.0,American Pale Ale (APA)
183,3.8,40.0,American IPA
184,5.2,23.0,Kölsch
185,7.000000000000001,75.0,American IPA
187,7.000000000000001,70.0,American IPA
189,4.5,20.0,Rye Beer
190,3.5000000000000004,45.0,American Amber / Red Ale
191,7.000000000000001,46.0,American IPA
192,6.0,60.0,American IPA
194,4.9,22.0,American Pilsner
195,6.7,60.0,American IPA
196,6.800000000000001,62.0,American Pale Lager
197,5.0,20.0,Witbier
200,6.7,70.0,American IPA
202,5.4,48.0,German Pilsener
204,7.000000000000001,42.0,Hefeweizen
209,5.5,35.0,American Amber / Red Ale
210,4.9,28.0,American Pale Ale (APA)
211,6.9,69.0,American IPA
212,8.8,108.0,American Double / Imperial IPA
213,5.0,10.0,Fruit / Vegetable Beer
214,5.800000000000001,45.0,American Pale Ale (APA)
215,6.800000000000001,85.0,American IPA
225,5.7,27.0,American Blonde Ale
227,7.200000000000001,87.0,American IPA
228,5.6000000000000005,32.0,Extra Special / Strong Bitter (ESB)
229,6.2,68.0,American IPA
230,6.0,34.0,American Black Ale
231,5.0,38.0,German Pilsener
233,5.3,20.0,American Pale Ale (APA)
240,9.5,104.0,American Double / Imperial IPA
242,6.7,85.0,American Amber / Red Ale
246,8.0,54.0,American Stout
249,7.5,60.0,American IPA
250,5.0,32.0,Czech Pilsener
251,6.0,55.0,American IPA
252,6.2,65.0,American IPA
254,5.0,35.0,American Pale Wheat Ale
255,5.1,26.0,American Brown Ale
257,5.1,26.0,American Brown Ale
258,5.0,35.0,American Pale Wheat Ale
259,6.2,65.0,American IPA
262,5.0,35.0,American Pale Wheat Ale
263,5.1,26.0,American Brown Ale
264,6.9,81.0,American IPA
265,5.800000000000001,38.0,American Amber / Red Ale
266,5.3,43.0,American Pale Ale (APA)
267,9.9,85.0,Rye Beer
268,9.8,76.0,American Double / Imperial IPA
269,5.5,35.0,Oatmeal Stout
270,6.6000000000000005,50.0,American IPA
271,5.5,45.0,American Pale Ale (APA)
275,7.200000000000001,75.0,Rye Beer
276,4.5,16.0,American Blonde Ale
277,7.5,35.0,American IPA
278,5.0,8.0,Hefeweizen
279,5.800000000000001,44.0,American Pale Ale (APA)
281,7.1,45.0,American Porter
282,7.8,34.0,Saison / Farmhouse Ale
283,6.6000000000000005,44.0,American Amber / Red Ale
284,4.8,16.0,American Brown Ale
285,4.6,20.0,American Amber / Red Ale
287,4.8,47.0,American IPA
291,7.000000000000001,51.0,American IPA
303,5.6000000000000005,37.0,Extra Special / Strong Bitter (ESB)
304,5.6000000000000005,37.0,Extra Special / Strong Bitter (ESB)
305,5.6000000000000005,37.0,Extra Special / Strong Bitter (ESB)
306,4.6,35.0,American Pale Ale (APA)
309,8.0,80.0,American Double / Imperial IPA
310,5.8999999999999995,60.0,American Pale Ale (APA)
311,6.5,30.0,Extra Special / Strong Bitter (ESB)
313,5.8999999999999995,60.0,American Pale Ale (APA)
314,4.9,16.0,Kölsch
321,4.3999999999999995,16.0,American Blonde Ale
322,5.5,28.0,Vienna Lager
331,4.2,30.0,American IPA
334,4.5,27.0,Munich Helles Lager
335,6.6000000000000005,72.0,American IPA
337,4.8,30.0,Czech Pilsener
338,5.6000000000000005,26.0,Märzen / Oktoberfest
344,4.8,38.0,Extra Special / Strong Bitter (ESB)
346,5.3,45.0,American Pale Ale (APA)
353,6.6000000000000005,72.0,American IPA
354,7.1,16.0,American Porter
356,6.5,45.0,American IPA
359,4.9,30.0,Vienna Lager
360,4.9,30.0,Vienna Lager
361,5.3,15.0,Märzen / Oktoberfest
362,5.3,7.0,American Pale Wheat Ale
363,4.9,30.0,Vienna Lager
364,4.9,35.0,American Pale Ale (APA)
365,5.7,35.0,American Pale Ale (APA)
366,4.9,35.0,American Pale Ale (APA)
367,6.2,80.0,American IPA
371,6.0,52.0,American Porter
372,5.7,52.0,American Porter
373,7.000000000000001,80.0,American IPA
374,6.0,25.0,Hefeweizen
376,5.2,40.0,American Amber / Red Ale
378,4.2,9.0,American Pale Wheat Ale
379,4.5,15.0,American Pale Wheat Ale
380,6.2,68.0,American IPA
381,5.4,19.0,American Amber / Red Ale
383,7.200000000000001,60.0,American IPA
385,5.5,28.0,American Pale Wheat Ale
453,5.0,15.0,American Amber / Red Ale
454,5.2,17.0,American Pale Ale (APA)
456,6.1,64.0,American IPA
465,7.3,85.0,American Black Ale
467,6.2,42.0,American Amber / Red Ale
472,6.0,40.0,American Blonde Ale
473,6.0,20.0,Witbier
474,9.0,118.0,American Double / Imperial IPA
478,5.5,40.0,American Pale Ale (APA)
479,9.9,115.0,American Double / Imperial IPA
482,6.800000000000001,16.0,American Pale Wheat Ale
483,7.200000000000001,86.0,American IPA
485,5.5,40.0,American Pale Ale (APA)
486,5.0,14.0,American Pale Lager
487,5.6000000000000005,36.0,American Pale Ale (APA)
499,5.3,25.0,American Blonde Ale
500,6.3,35.0,American Amber / Red Ale
501,6.800000000000001,100.0,American IPA
502,6.3,35.0,American Amber / Red Ale
503,5.3,25.0,American Blonde Ale
504,6.800000000000001,100.0,American IPA
506,5.6000000000000005,55.0,American Pale Ale (APA)
507,3.9,16.0,American Adjunct Lager
508,5.4,24.0,American Amber / Red Ale
509,6.1,94.0,American IPA
510,6.1,94.0,American IPA
511,5.6000000000000005,55.0,American Pale Ale (APA)
512,5.6000000000000005,55.0,American Pale Ale (APA)
513,5.6000000000000005,55.0,American Pale Ale (APA)
514,5.6000000000000005,55.0,American Pale Ale (APA)
515,5.6000000000000005,55.0,American Pale Ale (APA)
516,5.4,24.0,American Amber / Red Ale
517,6.1,94.0,American IPA
524,9.9,43.0,Pumpkin Ale
525,9.0,130.0,American Double / Imperial IPA
526,5.5,64.0,American IPA
527,5.4,35.0,German Pilsener
528,5.5,30.0,American Amber / Red Ale
529,5.5,35.0,American Amber / Red Ale
530,4.9,10.0,American Blonde Ale
531,6.5,80.0,American Black Ale
532,5.2,28.0,Vienna Lager
533,4.6,18.0,Munich Helles Lager
534,5.6000000000000005,55.0,American IPA
535,4.6,18.0,Munich Helles Lager
536,6.2,70.0,American IPA
548,9.9,100.0,American Black Ale
550,7.8,80.0,American Double / Imperial IPA
551,4.2,35.0,American IPA
561,4.8,16.0,Witbier
562,7.8,16.0,Scottish Ale
565,8.5,90.0,American Double / Imperial IPA
567,6.800000000000001,70.0,American IPA
569,5.1,36.0,American Pale Ale (APA)
570,5.0,18.0,Cream Ale
574,4.5,24.0,American Amber / Red Lager
576,5.2,42.0,American Pale Ale (APA)
578,7.200000000000001,85.0,American IPA
579,9.5,99.0,American Double / Imperial IPA
580,7.5,77.0,American Black Ale
582,6.0,45.0,American Stout
583,5.0,22.0,Kölsch
584,7.000000000000001,65.0,American IPA
586,6.5,8.0,Fruit / Vegetable Beer
587,5.5,30.0,American Pale Ale (APA)
590,5.5,40.0,Märzen / Oktoberfest
591,5.7,58.0,American IPA
592,5.7,10.0,Fruit / Vegetable Beer
594,8.9,126.0,American Double / Imperial IPA
595,4.9,29.0,American Pilsner
599,6.2,65.0,American IPA
600,8.2,65.0,American Black Ale
605,7.000000000000001,60.0,American IPA
606,7.000000000000001,60.0,American IPA
608,7.000000000000001,60.0,American IPA
609,7.000000000000001,60.0,American IPA
610,7.000000000000001,60.0,American IPA
613,7.5,70.0,American IPA
614,7.5,70.0,American IPA
615,8.0,65.0,American Porter
617,5.5,25.0,English Brown Ale
618,5.5,25.0,American Brown Ale
620,7.200000000000001,75.0,American Amber / Red Ale
621,7.5,70.0,American IPA
622,5.0,18.0,Witbier
630,6.7,60.0,American IPA
631,6.0,75.0,American Black Ale
632,4.3999999999999995,13.0,American Pale Wheat Ale
633,4.7,17.0,American Blonde Ale
634,6.2,55.0,American Brown Ale
635,4.6,11.0,Kölsch
636,6.5,75.0,American IPA
637,5.2,24.0,American Amber / Red Ale
638,5.2,24.0,American Amber / Red Ale
640,6.800000000000001,75.0,American IPA
641,4.8,22.0,German Pilsener
642,5.6000000000000005,21.0,American Blonde Ale
650,7.5,29.0,Oatmeal Stout
651,7.7,71.0,American Black Ale
652,6.0,46.0,American Pale Ale (APA)
657,5.2,15.0,Witbier
659,5.2,25.0,American Amber / Red Ale
660,6.5,65.0,American IPA
662,4.9,25.0,American Blonde Ale
672,6.0,31.0,American Amber / Red Ale
673,5.2,23.0,Kölsch
681,5.0,15.0,American Blonde Ale
682,5.3,11.0,Hefeweizen
684,9.2,115.0,American Double / Imperial IPA
685,6.5,80.0,American IPA
694,6.3,37.0,American Amber / Red Ale
696,7.5,33.0,American Brown Ale
697,8.5,100.0,American Double / Imperial IPA
700,4.8,25.0,Saison / Farmhouse Ale
702,5.2,23.0,American Blonde Ale
703,7.000000000000001,70.0,American IPA
704,4.5,44.0,American IPA
707,5.6000000000000005,46.0,American Blonde Ale
708,6.5,71.0,American IPA
712,5.0,40.0,American Pale Ale (APA)
713,5.2,16.0,Hefeweizen
715,6.3,76.0,American IPA
718,9.6,85.0,American Double / Imperial IPA
720,4.3999999999999995,45.0,American Pale Ale (APA)
721,5.2,26.0,American Pale Ale (APA)
722,5.4,27.0,American Amber / Red Ale
724,7.1,85.0,American IPA
727,6.5,72.0,American IPA
737,6.6000000000000005,100.0,American IPA
738,5.1,17.0,Fruit / Vegetable Beer
739,4.3,12.0,Hefeweizen
740,5.800000000000001,49.0,American Amber / Red Ale
741,6.1,64.0,American IPA
742,4.5,18.0,American Pale Wheat Ale
744,7.8,74.0,American IPA
749,7.8,74.0,American IPA
751,4.9,25.0,American Amber / Red Lager
758,4.3,60.0,American IPA
759,6.2,80.0,American IPA
760,4.9,23.0,American Blonde Ale
761,7.000000000000001,61.0,Belgian IPA
765,5.4,48.0,Czech Pilsener
771,5.0,32.0,American Pale Ale (APA)
772,4.5,19.0,Scottish Ale
773,6.7,70.0,American IPA
774,6.3,55.0,American Pale Ale (APA)
775,7.000000000000001,80.0,American IPA
776,7.000000000000001,58.0,American Stout
777,5.0,20.0,Belgian Pale Ale
779,5.0,20.0,Kölsch
780,7.000000000000001,70.0,American IPA
781,7.5,53.0,American Amber / Red Ale
784,7.5,53.0,American Amber / Red Ale
