,abv,ibu,style
14,0.061,60.0,American Pale Ale (APA)
24,0.044,42.0,American Pale Ale (APA)
25,0.049,17.0,Fruit / Vegetable Beer
26,0.049,17.0,Fruit / Vegetable Beer
27,0.049,17.0,Fruit / Vegetable Beer
28,0.07,70.0,American IPA
29,0.07,70.0,American IPA
30,0.07,70.0,American IPA
32,0.097,94.0,American Double / Imperial IPA
33,0.044,42.0,American Pale Ale (APA)
35,0.068,65.0,American Black Ale
37,0.07,65.0,American IPA
38,0.049,17.0,Fruit / Vegetable Beer
39,0.07,82.0,American IPA
43,0.045,18.0,American Blonde Ale
49,0.05,28.0,American Pale Wheat Ale
51,0.05,45.0,American IPA
53,0.069,65.0,American IPA
55,0.046,15.0,Kölsch
57,0.059,75.0,American IPA
60,0.084,82.0,American Double / Imperial IPA
62,0.055,26.0,American Amber / Red Lager
63,0.055,26.0,American Amber / Red Lager
64,0.065,52.0,American IPA
65,0.042,13.0,Fruit / Vegetable Beer
66,0.045,17.0,American Amber / Red Lager
67,0.08199999999999999,68.0,American IPA
68,0.05,20.0,American Brown Ale
69,0.08,68.0,American Double / Imperial IPA
72,0.042,42.0,American Pale Ale (APA)
73,0.05,25.0,German Pilsener
77,0.076,68.0,American Double / Imperial IPA
78,0.051,38.0,Saison / Farmhouse Ale
80,0.06,65.0,American IPA
82,0.053,35.0,American Stout
83,0.05,35.0,American Pale Ale (APA)
86,0.053,36.0,American Pale Ale (APA)
87,0.08199999999999999,103.0,American Double / Imperial IPA
88,0.053,40.0,American Pale Ale (APA)
95,0.062,43.0,American IPA
106,0.056,4.0,Cream Ale
107,0.07,80.0,American IPA
108,0.058,15.0,American Amber / Red Ale
111,0.058,15.0,American Amber / Red Ale
112,0.056,4.0,Cream Ale
115,0.07,80.0,American IPA
116,0.058,15.0,American Amber / Red Ale
117,0.056,4.0,Cream Ale
118,0.055,28.0,American Pale Ale (APA)
128,0.071,75.0,American IPA
129,0.047,19.0,American Blonde Ale
130,0.06,23.0,American Porter
131,0.06,55.0,American Pale Ale (APA)
132,0.062,17.0,American Pale Wheat Ale
135,0.051,20.0,Saison / Farmhouse Ale
137,0.07,45.0,American IPA
138,0.032,27.0,Kölsch
139,0.053,26.0,American Porter
140,0.06,69.0,American IPA
144,0.056,27.0,American Blonde Ale
145,0.07,67.0,American IPA
146,0.057,40.0,American Stout
147,0.08199999999999999,138.0,American Double / Imperial IPA
148,0.062,35.0,American Porter
149,0.06,35.0,American Amber / Red Ale
150,0.075,115.0,American Double / Imperial IPA
151,0.055,12.0,American Porter
153,0.045,8.0,American Blonde Ale
154,0.05,62.0,American IPA
163,0.047,42.0,German Pilsener
164,0.056,10.0,Witbier
165,0.063,69.0,American IPA
166,0.055,17.0,American Brown Ale
168,0.07200000000000001,22.0,Märzen / Oktoberfest
169,0.048,23.0,American Pale Wheat Ale
172,0.061,41.0,American Amber / Red Ale
179,0.06,43.0,American Pale Ale (APA)
180,0.068,70.0,American IPA
181,0.044,38.0,American Pale Ale (APA)
183,0.038,40.0,American IPA
184,0.052000000000000005,23.0,Kölsch
185,0.07,75.0,American IPA
187,0.07,70.0,American IPA
190,0.035,45.0,American Amber / Red Ale
191,0.07,46.0,American IPA
192,0.06,60.0,American IPA
195,0.067,60.0,American IPA
196,0.068,62.0,American Pale Lager
197,0.05,20.0,Witbier
200,0.067,70.0,American IPA
202,0.054000000000000006,48.0,German Pilsener
204,0.07,42.0,Hefeweizen
209,0.055,35.0,American Amber / Red Ale
210,0.049,28.0,American Pale Ale (APA)
211,0.069,69.0,American IPA
212,0.08800000000000001,108.0,American Double / Imperial IPA
213,0.05,10.0,Fruit / Vegetable Beer
214,0.058,45.0,American Pale Ale (APA)
215,0.068,85.0,American IPA
225,0.057,27.0,American Blonde Ale
227,0.07200000000000001,87.0,American IPA
229,0.062,68.0,American IPA
230,0.06,34.0,American Black Ale
231,0.05,38.0,German Pilsener
233,0.053,20.0,American Pale Ale (APA)
240,0.095,104.0,American Double / Imperial IPA
242,0.067,85.0,American Amber / Red Ale
246,0.08,54.0,American Stout
249,0.075,60.0,American IPA
250,0.05,32.0,Czech Pilsener
251,0.06,55.0,American IPA
252,0.062,65.0,American IPA
254,0.05,35.0,American Pale Wheat Ale
255,0.051,26.0,American Brown Ale
257,0.051,26.0,American Brown Ale
258,0.05,35.0,American Pale Wheat Ale
259,0.062,65.0,American IPA
262,0.05,35.0,American Pale Wheat Ale
263,0.051,26.0,American Brown Ale
264,0.069,81.0,American IPA
265,0.058,38.0,American Amber / Red Ale
266,0.053,43.0,American Pale Ale (APA)
268,0.098,76.0,American Double / Imperial IPA
270,0.066,50.0,American IPA
271,0.055,45.0,American Pale Ale (APA)
276,0.045,16.0,American Blonde Ale
277,0.075,35.0,American IPA
278,0.05,8.0,Hefeweizen
279,0.058,44.0,American Pale Ale (APA)
281,0.071,45.0,American Porter
282,0.078,34.0,Saison / Farmhouse Ale
283,0.066,44.0,American Amber / Red Ale
284,0.048,16.0,American Brown Ale
285,0.046,20.0,American Amber / Red Ale
287,0.048,47.0,American IPA
291,0.07,51.0,American IPA
306,0.046,35.0,American Pale Ale (APA)
309,0.08,80.0,American Double / Imperial IPA
310,0.059,60.0,American Pale Ale (APA)
313,0.059,60.0,American Pale Ale (APA)
314,0.049,16.0,Kölsch
321,0.044,16.0,American Blonde Ale
331,0.042,30.0,American IPA
335,0.066,72.0,American IPA
337,0.048,30.0,Czech Pilsener
338,0.056,26.0,Märzen / Oktoberfest
346,0.053,45.0,American Pale Ale (APA)
353,0.066,72.0,American IPA
354,0.071,16.0,American Porter
356,0.065,45.0,American IPA
361,0.053,15.0,Märzen / Oktoberfest
362,0.053,7.0,American Pale Wheat Ale
364,0.049,35.0,American Pale Ale (APA)
365,0.057,35.0,American Pale Ale (APA)
366,0.049,35.0,American Pale Ale (APA)
367,0.062,80.0,American IPA
371,0.06,52.0,American Porter
372,0.057,52.0,American Porter
373,0.07,80.0,American IPA
374,0.06,25.0,Hefeweizen
376,0.052000000000000005,40.0,American Amber / Red Ale
378,0.042,9.0,American Pale Wheat Ale
379,0.045,15.0,American Pale Wheat Ale
380,0.062,68.0,American IPA
381,0.054000000000000006,19.0,American Amber / Red Ale
383,0.07200000000000001,60.0,American IPA
385,0.055,28.0,American Pale Wheat Ale
453,0.05,15.0,American Amber / Red Ale
454,0.052000000000000005,17.0,American Pale Ale (APA)
456,0.061,64.0,American IPA
465,0.073,85.0,American Black Ale
467,0.062,42.0,American Amber / Red Ale
472,0.06,40.0,American Blonde Ale
473,0.06,20.0,Witbier
474,0.09,118.0,American Double / Imperial IPA
478,0.055,40.0,American Pale Ale (APA)
479,0.099,115.0,American Double / Imperial IPA
482,0.068,16.0,American Pale Wheat Ale
483,0.07200000000000001,86.0,American IPA
485,0.055,40.0,American Pale Ale (APA)
486,0.05,14.0,American Pale Lager
487,0.056,36.0,American Pale Ale (APA)
499,0.053,25.0,American Blonde Ale
500,0.063,35.0,American Amber / Red Ale
501,0.068,100.0,American IPA
502,0.063,35.0,American Amber / Red Ale
503,0.053,25.0,American Blonde Ale
504,0.068,100.0,American IPA
506,0.056,55.0,American Pale Ale (APA)
508,0.054000000000000006,24.0,American Amber / Red Ale
509,0.061,94.0,American IPA
510,0.061,94.0,American IPA
511,0.056,55.0,American Pale Ale (APA)
512,0.056,55.0,American Pale Ale (APA)
513,0.056,55.0,American Pale Ale (APA)
514,0.056,55.0,American Pale Ale (APA)
515,0.056,55.0,American Pale Ale (APA)
516,0.054000000000000006,24.0,American Amber / Red Ale
517,0.061,94.0,American IPA
525,0.09,130.0,American Double / Imperial IPA
526,0.055,64.0,American IPA
527,0.054000000000000006,35.0,German Pilsener
528,0.055,30.0,American Amber / Red Ale
529,0.055,35.0,American Amber / Red Ale
530,0.049,10.0,American Blonde Ale
531,0.065,80.0,American Black Ale
534,0.056,55.0,American IPA
536,0.062,70.0,American IPA
548,0.099,100.0,American Black Ale
550,0.078,80.0,American Double / Imperial IPA
551,0.042,35.0,American IPA
561,0.048,16.0,Witbier
565,0.085,90.0,American Double / Imperial IPA
567,0.068,70.0,American IPA
569,0.051,36.0,American Pale Ale (APA)
570,0.05,18.0,Cream Ale
574,0.045,24.0,American Amber / Red Lager
576,0.052000000000000005,42.0,American Pale Ale (APA)
578,0.07200000000000001,85.0,American IPA
579,0.095,99.0,American Double / Imperial IPA
580,0.075,77.0,American Black Ale
582,0.06,45.0,American Stout
583,0.05,22.0,Kölsch
584,0.07,65.0,American IPA
586,0.065,8.0,Fruit / Vegetable Beer
587,0.055,30.0,American Pale Ale (APA)
590,0.055,40.0,Märzen / Oktoberfest
591,0.057,58.0,American IPA
